,0
10,"This time, this place misused, mistakes  
Too long, too late, who was I to make you wait?  
Just one chance, just one breath  
Just in case there's just one left  
'Cause you know you know, you know  
  
[Chorus]  
That I love you I have loved you all along and I miss you  
Been far away for far too long  
I keep dreaming you'll be with me and you'll never go  
Stop breathing if I don't see you anymore  
  
On my knees, I'll ask last chance for one last dance  
'Cause with you, I'd withstand  
All of hell to hold your hand  
I'd give it all I'd give for us  
Give anything, but I won't give up  
'Cause you know you know, you know  
  
[Chorus]  
  
So far away, so far away  
Been far away for far too long  
So far away, so far away  
Been far away for far too long  
But you know, you know, you know  
  
I wanted, I wanted you to stay  
'Cause I needed, I need to hear you say  
That I love you, I have loved you all along  
And I forgive you, for being away for far too long  
So keep breathing, 'cause I'm not leaving  
Hold on to me and never let me go  
Keep breathing, 'cause I'm not leaving you anymore  
Believe it, hold on to me and  
Never let me go, keep breathing  
Hold on to me and never let me go (Keep breathing)  
Hold on to me and never let me go

"
11,"I missed you so much that I begged here to fly here and see me  
You must've broke down 'cause you finally said that you would  
But now that you're here  
I just feel like I'm constantly dreaming  
'Cause something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
For forty eight hours I don't think that we left my hotel room  
Should show you the sites 'cause I'm sure that I said that I would  
We gotta make love just one last time in the shower  
Well something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
And it's like...  
  
Every time I turn around  
I fall in love and find my heart face down  
And where it lands is when it should  
This time it's like  
The two of us should probably start to fight  
'Cause something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
Feelin' way too damn good  
  
Sometimes life ain't best if left in the memory  
It's better kept inside than left for good  
Lookin' back each time they tried to tell me  
Well something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
And it's like...  
  
Every time I turn around  
I fall in love and find my heart face down  
And where it lands is when it should  
This time it's like  
The two of us should probably start to fight  
'Cause something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
Feelin' way too damn good  
  
I missed you so much that I begged here to fly here and see me  
You must've broke down 'cause you finally said that you would  
But now that you're here  
I just feel that I'm constantly dreaming  
'Cause something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
And it's like...  
  
Every time I turn around  
I fall in love and find my heart face down  
And where it lands is when it should  
This time it's like  
The two of us should probably start to fight  
'Cause something's gotta go wrong  
'Cause I'm feelin' way too damn good  
  
Feelin' way too damn good  
  
I missed you so much that I begged here to fly here and see me  
  
Feelin' way too damn good  
  
I missed you so much that I begged here to fly here and see me

"
12,"Well, I wanted you  
I wanted no one else  
I thought it through  
I got you to myself  
You got off  
Every time you got onto me  
I got caught up  
In favorable slavery  
  
[Chorus]  
I guess it wasn't really right  
I guess it wasn't meant to be  
It didn't matter what they said  
Cause we were good in bed  
I guess I stuck around so I could watch us fight  
For all the wrong reasons  
No, it didn't matter what I tried  
It's just a little hard to leave  
When you're going down on me  
I guess I stuck around so I could watch us fight  
For all the wrong reasons  
  
Well, you know my friends  
They know your enemies  
And I'd pretend  
Not to hear what they said to me  
Cause I got off  
Every time you got onto me  
Was it wrong  
To go along with insanity?  
  
[Chorus]  
  
I guess it wasn't what, it wasn't really what I thought  
I thought it was the day I got, I want it all to go away  
I guess it wasn't what, it wasn't really what I thought  
I thought it was the day I got, I want it all to go away  
I guess it wasn't what, it wasn't really what I thought  
I thought it was the day I got, I want it all to go away  
I guess it wasn't what, it wasn't really what I thought  
I thought it was the day I got, I want it all to go away  
  
[Chorus]

"
13,"I like your pants around your feet  
And I like the dirt that's on your knees  
And I like the way you still say please, while you're looking up at me  
You're like my favorite damn disease  
  
And I love the places that we go  
And I love the people that you know  
And I love the way you can't say ""No"" too many long lines in a row  
I love the powder on your nose  
  
Ouh, and now I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
  
And now I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
  
I like the freckles on your chest  
And I like the way you like me best  
And I like the way you're not impressed, while you put me to the test  
  
I like the white stains on your dress  
And I love the way you pass the check  
And I love the good times that you wreck (The good times that you wreck)  
  
And I love your lack of self respect  
While you're passed out on the deck  
I love my hands around your neck  
  
Ouh and I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
  
And I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
Why not before, you never tried  
Gone for good, and this is it  
  
I like your pants around your feet  
And I like the dirt that's on your knees  
And I like the way you still say please, while you're looking up at me  
You're like my favorite damn disease  
  
And I hate the places that we go  
And I hate the people that you know  
And I hate the way you can't say ""No"" too many long lines in a row  
I hate the powder on your nose  
  
Ouh and now I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
  
And now I know who you are  
It wasn't that hard  
Just to figure you out  
Now I did, you wonder why  
Why not before, you never tried  
Gone for good, and this is it  
Ooh

"
14,"Not like I need to depend upon anyone  
Since I can see the lack of need for me to be here at all  
One more anthem for the know-it-all  
I won't be standing up for long, I'd better learn how to crawl  
Learn how to crawl  
  
In ten minutes I'll be laying out flat on the floor  
  
Like I need to defend my own innocence  
So what, I did it, I admit it, and I'm pleading the fifth  
One more anthem for the know-it-all  
I won't be standing up for long, I'd better learn how to crawl  
Learn how to crawl  
  
In ten minutes I'll be laying out flat on the floor  
  
Eight minutes, I'm losin' it a little bit  
Five minutes, your description might be starting to fit  
Three to go and I'm forgetting all that I've ever known  
I won't be standing up for long, I'd better learn how to crawl  
  
Not like I need to depend upon anyone  
Since I can see the lack of need for me to be here at all  
One more anthem for the know-it-all  
I won't be standing up for long, I'd better learn how to crawl  
Learn how to crawl  
  
In ten minutes I'll be laying out flat on the floor  
I can't stand up at all, can't see nothing at all  
In ten minutes I'll be laying out flat on the floor

"
15,"Father, tell me somethin'  
Where do bad men go when they die?  
And mother says you'll go there but  
Wings for her and I and I don't mind  
Cause I have always wanted to learn to...  
Fly...learn to  
Fly...learn to  
Fly...learn to  
Fly...  
  
Brother, tell me somethin'  
If I take this, am I going to die?  
And he says no, so then I figure what the hell  
I'll try cause it's my life  
So light the match and you and I will...  
  
Fly...learn to  
Fly...learn to  
Fly...learn to  
Fly...  
  
'Cause I'm on my hands and knees I've crawled eternity to beg forgiveness  
And someday I'll be there I swear to you, God, as my witness  
For all the trusts I've broke and, let justice know, it's just that easy  
'Cause I'm a liar, I conspired, I'm a liar...  
  
And father tell your son  
It's not your gun and bloody hands  
Don't hide behind locked doors  
In dresser drawers those bullets wait to fly...  
  
Fly...wait to  
Fly...wait to  
Fly... wait to  
Fly...  
  
'Cause I'm on my hands and knees  
I've crawled eternity to beg forgiveness  
And someday I'll be there I swear to you  
God, as my witness  
For all the trusts I've broke and  
Let justice know, it's just that easy  
'Cause I'm a liar, I conspired, I'm a liar...

"
16,"[Verse 1]  
Wake up  
My baby still looks amazing with no make-up  
Damn it I knew the second that you came up  
From underneath the covers  
Said ""I wanna meet your mother, your daddy, your sister and your brother""  
One week, the time it took you to tell me that you love me  
Packed all of my shit and moved across the country  
And now we're buying diamonds  
Saying it's only 20 karats it can't be that hard to find it, baby  
  
[Pre-Chorus]  
Your touch has made me a believer  
Your love is all I ever needed  
And she's the only one I'd follow for eternity  
  
[Chrous] x2  
She's got me runnin' round and round  
She takes like the sunshine kissing me  
Even sweeter than honey on a bumblebee  
She said honey if you want to you can come with me  
She's got me runnin' round and round  
  
[Verse 2]  
Light on sunset  
Can't imagine that you ain't having fun yet  
Baby maybe just wait cause I ain't drunk yet  
As soon as I looked over  
Yeah the waiter sugarcoated  
You were busy motorboatin' on that blonde girl  
What you doing nothing wrong girl  
Looks like we got another come along girl  
If you ain't afraid to try it  
You know we'll be flying private long as I can be the pilot baby  
  
[Pre-Chorus]  
Your touch has made me a believer  
Your love is all I ever needed  
And she's the only one I'd follow for eternity  
  
[Chrous] x2  
She's got me runnin' round and round  
She takes like the sunshine kissing me  
Even sweeter than honey on a bumblebee  
She said honey if you want to you can come with me  
She's got me runnin' round and round  
  
[Bridge]  
Oh, oh o-o-o-o-oh oh  
Oh, oh o-o-o-o-oh oh  
Oh, oh o-o-o-o-oh oh  
  
She's got me runnin' round and round  
(Runnin' and Runnin' and Runnin' and x5)  
  
[Verse 3: Flo Rida]  
Flo Rida girl, you got me runnin' round  
What a perfect misses, momma she still eat McDonald's  
Taste delicious scream Madonna knock this swiss so I guess she did it  
What, my kisses?  
What, my pictures?  
Hoping she pops back pays a visit  
To my baby yeah, my baby girl  
Run around town on a treadmill  
I ain't going nowhere, no wonder where  
That's what she wear  
Gotta playmate when I join the party  
She was supposed to be in a queue here  
Birthday cake, wanna grant my wishes  
Every day I'm losing my breath  
Can't replace that face, that waist  
I'd chase this girl to Belvidere  
Baby  
  
[Chrous] x2  
She's got me runnin' round and round  
She takes like the sunshine kissing me  
Even sweeter than honey on a bumblebee  
She said honey if you want to you can come with me  
She's got me runnin' round and round  
  
[Bridge] x2  
Oh, oh o-o-o-o-oh oh  
Oh, oh o-o-o-o-oh oh  
Oh, oh o-o-o-o-oh oh  
  
She's got me runnin' round and round  
(Runnin' and Runnin' and Runnin' and x5)

"
17,"I went out on the town with a friend last weekend.  
His ex girlfriend's friend was there alone.  
She bought a couple rounds and I got the feeling, she could really handle
alcohol.  
  
Another one down and headed off the deep end.  
The more we drank, the less that we had on.  
  
And it turns out she's got everything I want, but all rolled into one.  
She smokes a little home grown, drinks a little Cuervo.  
Still a little down home, there was never a doubt.  
She's got a fast car, hotter than a dance bar.  
Looking like a rock star, she'll be the talk of the town.  
You know, she's got everything I want, but all rolled into one.  
Gotta get me some.  
  
God all mighty look at that body.  
Looks just like a sticker on a new Ferrari.  
She's a scene from a Baywatch rerun.  
Hotter then a barrel on a squeeze machine gun.  
  
Well, she can get it lower then a Maserati.  
Never seen somebody move that way.  
Everywhere she goes there's an instant party.  
Everybody wants to know her name.  
  
And it turns out she's got everything I want, but all rolled into one.  
She smokes a little home grown, drinks a little Cuervo.  
Still a little down home, there was never a doubt.  
She's got a fast car, hotter then a dance bar.  
Looking like a rock star, and she likes to go out and  
  
She likes to get her hands up.  
Anything to stand on.  
Anything to dance on.  
She'd be swinging around.  
Under the hot lights, underneath the spot light.  
Keep it going all night.  
She'll be the talk of the town.  
  
You know, she's got everything I want, but all rolled into one.  
Gotta get me some.  
  
God all mighty look at that body.  
Looks just like a sticker on a new Ferrari.  
She's a scene from a bay watch rerun.  
Hotter then a barrel on a squeeze machine gun.  
  
And it turns out she's got everything I want, but all rolled into one.  
She smokes a little home grown, drinks a little Cuervo.  
Still a little down home, there was never a doubt.  
She's got a fast car, hotter then a dance bar.  
Looking like a rock star, and she likes to go out and  
  
Get her hands up.  
Anything to stand on.  
Anything to dance on.  
She'd be swinging around.  
Under the hot lights, underneath the spot light.  
Keep it going all night.  
She'll be the talk of the town.  
  
You know, she's got everything I want, but all rolled into one.  
Gotta get me some.  
  
I gotta get me some.  
Gotta get me some.

"
18,"All men with stars upon the chest  
Save yourselves, your family  
Don't worry 'bout the rest  
Small child receives light through the crack  
The human mile, they're never coming back  
Hold out your hand and ask for some  
Now and again she sits beneath the tree  
The sign above reads  
Hard work will set you free  
Hold out your hand and ask for some  
Too late for another direction  
Always what we've got in store  
Hurry back we've all been waiting  
We can't take much anymore  
Where are the days where brothers are brothers  
A childless mother  
Leave it except for one

"
19,"Please don't be too long while you're gone  
There ain't enough to keep me here too long  
Not like the last time I stood in line  
Just enough to keep me bouncing off the wall, yeah  
  
The new day, the new tray that comes around  
Pills and all, enough to kill him while he sleeps  
Is this the alley we dragged him to  
Just off of Hollywood and Normandy  
  
It didn't work like she said it would  
Just like livin' in Hollywood  
Just like a bad dream, or so it seems  
Just like I'm back in emergency  
  
Please don't be too long while you're gone  
There ain't enough to keep me here too long  
Not like the last time I stood in line  
Just enough to keep me bouncing off the wall, yeah  
  
It didn't work like she said it would  
Just like livin' in Hollywood  
Just like a bad dream, or so it seems  
Just like I'm back in emergency

"
20,"I don't live anymore  
I don't love me this way  
I don't have wings to fly  
I don't have, gone away  
I don't have anything  
I don't need a space to breathe  
I don't hide in sanctity  
I don't need what you need  
I don't have, have a space to go  
  
I don't claim to know just why  
I don't try to pacify  
I don't love me just yet  
I don't care, gone away  
  
This ones mine  
This ones mine  
This ones mine  
All mine  
Not this time I won't deny  
This one's mine  
All this time  
Not this time I won't deny  
All this time, yes it's mine  
Not this time I won't deny  
This one's...  
  
I don't have anything  
I don't need the space to breathe  
I don't hide in sanctity  
I don't need what you need  
I don't have...I don't have...  
I don't have...I don't have...  
I don't have anything  
I don't need the space to breathe  
I don't hide in sanctity  
I don't need what you need  
  
I don't have...I don't have...  
I don't have...I don't have...

"
