,0
40,"I've been here all your life watching your crying game  
You were the heaven in my lonely world  
And he was your sun and your rain  
I was losing you before I ever held you tight  
Before you ever held me in your arms  
And I won't make you blue  
And maybe an everlasting love will do  
  
Ah, we got an everlasting love  
So tall, so wide, so high above the rumble of thunder down below  
It's your love I need, it's the only show  
And it's you want an everlasting dream  
Can take us anywhere are the tears of yesterday  
We killed the pain , we blew away the memories of the tears we cried  
And an everlasting love will never die  
  
Take me out of the cold  
Give me what I've hungered for  
If it's the pleasure of taking my heart that you need  
Then it only makes me love you more  
I was yours before the stars were born and you were mine  
I could have saved you all the pain you knew  
And I won't make you cry  
And maybe an everlasting love can try  
  
Ah, we got an everlasting love  
So tall , so wide, so high above the rumble of thunder down below  
It's your love I need, it's the only show  
And it's you want an everlasting dream  
Can take us anywhere are the tears are yesterday  
We killed the pain, we blew away the memories of the tears we cried  
And an everlasting love will never die  
  
Ah, we got an everlasting love  
So tall , so wide, so high above the rumble of thunder down below  
It's your love I need, it's the only show  
And it's you want an everlasting dream  
Can take us anywhere are the tears are yesterday  
We killed the pain, we blew away the memories of the tears we cried  
And an everlasting love will never die  
  
Ah, we got an everlasting love  
So tall , so wide, so high above the rumble of thunder down below  
It's your love I need, it's the only show  
And it's you want an everlasting dream  
Can take us anywhere are the tears are yesterday  
We killed the pain, we blew away the memories of the tears we cried  
And an everlasting love will never die

"
41,"Ah...  
Well, I been working up a fever trying to  
Straighten up the mess in my mind about this place  
I can't contain myself anymore  
Can't you see it's written all over my face  
Why don't you get on your feet  
It's about time you got to think  
What ever happened to peace  
Well open your eyes and you'll see children laughing,  
Voices singin', hearts a-beatin' ah...  
  
Your always talkin' right and talkin' about  
The world and it's corruption and moral decay  
But what you gonna do about it, nothing,  
'Cause you're more like children then children while they play  
Why you're so clean through and through you won't shake hands  
With a negro who's maybe cleaner then you  
Well listen around and you'll hear children laughin',  
Voices singin', hearts a-beatin' like they always do  
So what's wrong with you, ah...  
  
You're so blown up with anger about the world  
You write the songs about  
Yet you don't even know your neighbors name  
Now you want to go the the moon and live there  
When you know it'll only end up the same  
How can he give you any gratitude,  
With your endless sickenin' attitude  
You strive to get ahead  
But you leave each other dead  
Can't you see, children laughin',  
Voices singin', hearts beatin' like they always do  
So what's wrong with you, ah...  
  
Children laughin', voices singin' hearts beatin'  
Children laughin', voices singin', (fade)

"
42,"And the rain will fall, it falls for you.  
And the clouds will break into tears,  
You should be here standing so near to me.  
  
'Cept I know you should be sad  
But give me time alone to get it out of my mind.  
Though say I know it's only the weather.  
'Cause every time it rains you are gone.  
And I'm blue.  
Then I wake up, then I wake up.  
  
And the sun will shine if just for you.  
And the trees will talk to the skies, whispering lies,  
Heaven will pass to me, yeah.  
Trains walk by and the birds disappear.  
Oh! Why am I still here without you by my side.  
So I cry your name and love,  
The thought to me is back and how near.  
Then I wake up, then I grow up.  
  
And the rain will fall.  
It falls for you.  
And the clouds will break  
It should be near.  
And the sun will shine  
If just for you  
And the love

"
43,"Angela, I'm still alive  
Angela, I'm still alive  
The sun and the sea  
The darkness in the way  
All the pain don't get no better  
It gets stronger every day  
  
It happens to be true  
That I still pray to you my love  
Voices in the night, don't help  
My searching for the truth, my love  
  
And when I'm lost  
And high above the storm  
I hear your name  
I'm empty inside, I'm empty inside  
And where are you  
  
Angela, I'm still alive  
For the two of us  
I'm still alive  
You've got to imagine us  
All the world was on our side  
We had the power of the universe  
And we were ready  
We were ready for the ride  
  
Moonlight in her hair  
Her eyes the wonder of the age  
But all I mean to you my love  
Is just a spotlight on an empty stage  
  
And through it all  
One fire in the rain  
Keeps burning on, keeps burning on  
I can't stop my heart  
It's beating for you  
Reaching for you  
But you are gone  
I'm empty inside, I'm empty inside  
And where are you  
  
Angela, I'm still alive  
For the two of us  
I'm still alive  
Angela, I'm still alive  
Angela, I'm still alive  
Angela, I'm still alive

"
44,"Ooh ooh ooh  
When you wait and you watch  
And you're wishing for something wild  
I figure I can please you someday someway  
I figure I can put your love on trial  
I'm taking you back to school  
Talk about making it something real  
Nobody could deny you anything  
  
[Chorus]  
You know I'd do anything  
Anything for you  
You know I'd do anything  
Anything for you  
You know I'd do anything  
Anything for you  
You know I'd do anything  
Anything for you  
  
You you you  
You can run with the fun  
You can tickle my nerves inside  
In the face of heartbreak, heartache  
It's gonna be a magic carpet ride  
Better we make it soon  
Let it be the one that make you  
Cry for more  
Anyone else would buy you anything  
I'd do anything  
  
[Chorus]  
  
I'd do anything  
I'd do anything  
I'd do anything  
I'd do anything  
  
[Chorus]  
  
I'd do anything  
I'd do anything  
I'd do anything  
I'd do anything

"
45,"Autumn and Friday the winds blew  
July, September, I knew you  
And now I sit on the sand hill  
I sing our song to the sea  
  
August, October  
Mid-April, November, May  
Beckoning hands made you fly  
I cry, it's curtains today  
  
In August, October the grass grew  
The sky was blue and I want you  
Now as I look out my window  
I see the world carry on  
  
August, October  
Mid-April, November, May  
Beckoning hands made you fly  
I cry, it's curtains today  
  
August, October  
Mid-April, November, May  
Beckoning hands made you fly  
I cry, it's curtains today

"
46,"Took a plane to Cairo  
Then a Cessna to Rome  
I got hijacked to Tel Aviv  
And it's the first time that I've flown  
  
But I've found my Shangri-la  
In a place that's not too far, back home  
  
Took a train to Jordan  
And to Texas and back  
I met Lyndon B. Johnson and I felt his hand on my back  
  
But I found my Shangri-la  
In a place that's not too far, back home  
  
Back home, back home  
back home, back home  
back home, back home  
(repeat back home and fade)

"
47,"Barker sing me a song  
Instead of counting trees,  
Collecting aeroplane numbers now, Mr Barker  
Live it up, shine my shoes  
  
Fly me to the moon ,  
Never before have I seen the light, Mr Barker  
Then the moment of depression fell around , Mr Barker  
And the changes of expression to a frown, My friend Barker  
  
There must be something there  
Shiner of the light, we demand we are here, Mr Barker  
Then the moment of depression fell around , Mr Barker  
And the changes of expression to a frown ,my friend Barker  
  
There must be something there  
Shiner of the light , we demand we are here , Mr Barker  
Barker sing me a song  
Instead of counting trees,  
  
Collecting aeroplane numbers now, Mr Barker  
Live it up, shine my shoes  
Fly me to the moon ,  
Never before have I seen the light  
  
Barker sing me a song  
Instead of counting trees,  
Collecting aeroplane numbers now , Mr Barker  
Live it up , shine my shoes  
Fly me to the moon,  
Never before have I seen the light (fade out )

"
48,"Be who you are  
Don't ever change  
The world was made to measure for your smile  
So smile.  
  
Those crazy dreams  
We threw, we threw away  
I never been alone with you  
I never could  
They say  
  
That love will find a way  
And love will never be set free  
I won't ever let you see  
You could not understand  
You never will  
  
Be who you are  
I bless I bless your name  
And all that summer madness caused the rain  
And we, we  
  
The glory that we made  
My love will grace the halls of time  
A love that never can be mine  
You could not love me then  
I love you still  
  
Be who you are  
Seize life and find a way  
And I will be that shadow loving who you are  
Be who you are  
We were

"
49,"People in their pride believe it's easier for them to leave  
Their problems in the arms of others, running to their mothers  
Lasting love is such a funny thing  
When you're in love you're on the wings  
You're not in love, it's good for you  
'cause you can do the things you want to do  
  
It's you big chance, to take it baby  
It's you big chance, you'll make it baby  
  
When you're high and mighty you'll remember how I loved you  
You'll be thinkin' how you hurt me when I needed you beside me  
In the night is such a lonely time  
I dream of you and that's a sign  
It means that I am still a fool  
And I am still so much in love with you  
  
It's your big chance, so take it baby  
It's your big chance, don't fake it baby  
  
Big chance  
Hot chance

"
50,"Birdie told me I must get over you somehow.  
And she told me never to think of you right now.  
But it's hopeless to say how can I forget the way she used to love me.  
I think about her in my time, know in my mind it's over.  
  
Looks like falling, heaven is calling my name to me.  
Funny faces loving the traces left for me.  
But it's hopeless to say how can I forget the way she used to love me.  
I think about her in my time, know in my mind it's over.  
  
Birdie told me I must get over you somehow.  
And she told me never to think of you right now.  
But it's hopeless to say how can I forget the way she used to love me.  
I think about her in my time know in my mind it's over.  
Birdie taught me how to get over you.

"
51,"Boogie, ah, you sexy, sexy (boogie child)  
Boogie, the situation wrecks me  
Boogie, I can't stand the way you do it (boogie child)  
Boogie, bad girl don't put me through it  
Boogie, right to the limit (boogie child)  
Boogie, you're a bad girl you got me in it  
Boogie, a man could die for the way I'm thinking (boogie child)  
Boogie, and I'm in too deep and I just keep sinking  
  
When you move it like you really know how to move me  
I follow you wherever you go  
I just want to lay my love on you, that boogie child she can  
Boogie, oh, you sexy, sexy (boogie child)  
Boogie, the situation wrecks me  
Boogie, I can't stand the way you do it (boogie child)  
Boogie, bad girl don't put me through it (come on boogie, boogie)  
  
Oh, boogie child, she's honey-sweet  
She got a hungry love, it's good enough to eat  
You can't touch her 'cause you know she's mine  
Come on boogie child let your love light shine  
I just want to lay my love on you, that boogie child she can  
  
Boogie, ah, you sexy, sexy (boogie child)  
Boogie, the situation wrecks me  
Boogie, I can't stand the way you do it (boogie child)  
Boogie, bad girl don't put me through it  
You can't touch her 'cause you know she's mine  
Come on boogie child let your love light shine  
I just want to lay my love on you, that boogie child she can  
  
Boogie, oh, you sexy, sexy (boogie child)  
Boogie, the situation wrecks me  
Boogie, I can't stand the way you do it (boogie child)  
Boogie, bad girl don't put me through it  
Boogie, oh, right to the limit  
Boogie, bad girl you got me in it (come on boogie, boogie)  
Boogie, a man could die for the way I'm  
For the way I'm thinking (boogie child)  
Boogie, and I'm in too deep and I just keep sinking  
  
Boogie, boogie child (come on boogie, boogie)  
Boogie, boogie child (come on boogie, boogie) [x3]

"
52,"It don't matter who you are  
Anyone can be a star  
Brighter than the lightning  
You go as far as you go  
You got to be what you know  
  
There may be somebody out to get the better of you  
You need the one good woman to keep you alive  
Don't let the pressure beat a hole in your head  
Remember nobody left you on the railway line  
And if the one shoe fits you've got a chance this time  
  
Breakout  
Ain't no one gonna break your heart  
You'll never do it if you never start  
You be there  
Breakout now  
  
You gotta be a story told  
And baby , no one gonna steal your soul  
You be there  
If you believe in tomorrow and you wait all night  
You've got it all and then you're lost in flight  
  
There are diamonds in the street  
But you don't get enough to eat  
Walking on a wire  
There is a future unknown  
Nobody does it alone  
  
And maybe you can be the thunder  
If you follow your dream  
There must be one good woman to show you the way  
Don't let them make you feel you're less than you are  
Remember , somebody calls you on the telephone line  
And all the world gets crazy and you win this time  
  
Breakout  
Ain't no one gonna break your heart  
You'll never do it if you never start  
You be there  
  
Breakout now  
You gotta be the story told  
And baby , no one's gonna steal your soul  
You be there  
  
If you believe in tomorrow and you wait all night  
You've got it all and then you're lost in flight  
  
Breakout now  
Ain't no one gonna break your heart  
You'll never do it if you never start  
You be there  
  
Breakout now  
You gotta be the story told  
And baby , no one's gonna steal your soul  
You be there  
If you believe in tomorrow and you wait all night  
  
Breakout now  
You gotta be the story told  
And baby , no one's gonna steal your soul  
You be there  
If you believe in tomorrow and you wait all night ( fade)

"
53,"I wasn't born in the morning, no  
I must have been born in the night  
I've done my load and I'll carry my load  
And all I own is my life  
  
I wasn't born to be lucky,  
Cause luck had no future with me  
I've done my wrong and I'll sing, sing, sing my song  
and stand beneath the hanging tree  
  
Bury me down by the river  
Let all the towns people see  
Their enemy's dead, let me lay, lay my head  
Just put me down and set me free  
  
I wasn't born as a rich man, no  
A rich man I never, I never could be  
I've done my wrong and I'll sing, sing, sing my song  
And stand beneath the hanging tree (Everybody sing now)  
  
Bury me down by the river, lord no  
Let all the towns people see, see  
Their enemy's dead, let me lay, lay, lay my head  
Just put me down and set me free  
(I want to hear everybody sing)  
  
Bury me down by the river  
Let all the towns, let all the towns people see  
Their enemy's dead, let me lay, let met lay, let me lay my head along  
Just put me down and set me free (set me free)

"
54,"Green fields where we used to wander  
Purple valleys , near my home  
We would play there , beneath the sky  
And then I kissed you , butterfly  
Young girl , you came restless  
And you left me here to cry  
My big teardrops, in red pastures  
For I loved you , butterfly  
Butterfly , yeah  
I dream about you , lonely without you , butterfly  
Butterfly , yeah  
Each night I'm sleeping, your face goes creeping, butterfly  
Green fields where we used to wander  
Purple valleys, near my home  
We would play there beneath the sky  
And I kissed you , butterfly  
Butterfly, yeah  
I dream bout you , lonely without you , butterfly  
Butterfly , yeah  
Each night I'm sleeping, your face goes creeping, butterfly  

"
55,"No, you can't keep a good man down  
When you got a good woman to keep it up  
No, you can't stand on firmer ground  
When love is the question I got enough  
  
Ooh, with lips so sweet  
Our love just can't be beat, my darling, oh yeah  
A love like yours and mine  
Can stand the test of time, my darling, oh yeah  
But for tomorrow -- tomorrow never comes  
Love is the secret -- goes living on  
  
No, you can't keep a good man down  
When you got a good woman to keep it up  
No, you can't stand on firmer ground  
When love is the question I got enough  
  
Just when I need you, show me the way  
You came into my world -- turned my night to day  
What good is a man without a woman?  
But for the trouble -- trouble always comes  
Love is the secret -- goes living on  
  
No, you can't keep a good man down  
When you got a good woman to keep it up  
No, you can't stand on firmer ground  
When love is the question I got enough  
  
Ooh, your love is strong  
Keep me forever, you're my darling, oh yeah  
A love like yours and mine  
Can stand the test of time, my darling, oh yeah  
But for tomorrow -- tomorrow never comes  
Love is the secret -- goes living on  
  
No, you can't keep a good man down  
When you got a good woman to keep it up  
No, you can't stand on firmer ground  
When love is the question I've got enough

"
56,"1974  
Some nights we made our love in the sand  
And at the tide we held our love in our hands  
And we listened to music the ocean was playing  
The words that our two hearts were saying  
That only two lovers can make  
Let us ride on the wind while this moment is real  
  
Your the light of my life  
You are welcome to my Charade  
And this felling knowing you blessed me forever  
  
And believing I have been touch by your love  
And the pleasure of knowing the evening won't tare us apart  
  
We can follow the sun to the day light is gone  
We can gaze up the sky till the night is over  
  
Light of my life  
You are welcome to my Charade  
And this felling knowing you blessed me forever  
  
We can follow the sun to the day light is gone  
We can gaze at the sky till the night is over  
  
Light of my life  
You are welcome to my Charade  
  
And this feeling knowing you blassed me forever  
We can follow the sun to the day light is gone  
We can gaze at the sky till the night is over  
Light of my life  
You are welcome to my Charade...

"
57,"CHERRY RED  
Bee Gess  
  
Where are you  
Cherry red , sweeter than the honeycomb  
Sweeter still when we're alone  
Cherry red, my cherry red  
  
Turquoise green , greener than the deeper sea  
Greener still when she's with me  
Cherry red , my cherry red  
  
I wonder why (wonder why)  
The stars that night shine big and bright for me  
I wonder why (wonder why)  
She's true to me the way that she will always be  
  
Cherry red , sweeter than the honeycomb  
Sweeter still when we're alone  
Cherry red , my cherry red  
  
I wonder why (wonder why)  
The stars that night shine big and bright for me  
I wonder why (wonder why)  
She's true to me the way that she will always be  
  
Cherry red , sweeter than the honeycomb  
Sweeter still when we're alone  
Cherry red, my cherry red  
  

"
58,"We are children of the world, watching every day go by  
Changes my life, changes your life, keeps us all anticipating  
We are searchers of the truth, every man's a boy deep down  
Gotta say it how you mean it, there ain't no easy way  
  
Like a bird in the wind, like a tree in the storm  
Like the breath of a child from the moment he's born  
To the very last day when the curtains are drawn  
We are children of the world, asking every question why  
From arrival to survival, just to make it worth the waiting  
We are faces in the night, watching every day go by  
Changes my life, changes your life, there ain t no easy way  
  
In the back of your mind there is always a mark  
There's a wandering solo alone in the dark  
You can keep it forever or tear it apart  
  
We are children of the world, watching every day go by  
Changing my life, changing your life, keeps us all anticipating  
  
We are children of the world, watching every day go by  
Like a bird in the wind, like a tree in the storm  
Like the breath of a child from the moment he's born  
Till the very last day when the curtains are drawn  
We are children of the world, watching every day go by  
Changes my life, changes your life, keeps us all anticipating  
  
We are children of the world, watching every day go by  
Changes my life, changes your life, keeps us all anticipating

"
59,"I'd like to be the one to see your loving mind at the start  
But I get claustrophobia 'cause there's too many boys in your heart  
I'd like to know how far you'd go to use those lips of wine  
But I get claustrophobia 'cause there's too many boys on your mind  
  
Oh, one, two, three and now there's me  
You practice to deceive  
You lead me on, another one  
I've got no room to breathe  
  
So bye bye you who can't be true, I'm leaving you behind  
Cause I get claustrophobia 'cause there's too many boys on your mind  
  
I get claustrophobia 'cause there's too many boys on your mind  
  
Oh, one, two, three and now there's me  
You practice to deceive  
You lead me on , another one  
I've got no room to breathe  
  
So bye bye you who can't be true , I'm leaving you behind  
Cause I get claustrophobia 'cause there's too many boys on your mind  
Too many boys on your mind  
Too many boys on your mind

"
60,"Many years have passed, it seems,  
And I am all alone.  
I've sent the children far away  
To some obscure unknown.  
  
[Chorus: x2]  
It's so sad,  
So sad.  
Close another door.  
Listen to my eyes.  
Close another door.  
You're much too old to work,  
So won't you run away?  
  
When I was young, I used to say  
That age won't bother me.  
The life I had was very sad,  
It all went out to sea  
  
[Chorus]  
  
And though the sun is in outside,  
The rain is in my hair.  
Now my life is lived inside,  
(Now all my life is mystified)  
My home is in my chair.  
  
[Chorus]  
  
Let me go.  
Send me flowers and  
Put me on a plane.  
I've paid before,  
  
So I've been told  
At least I'm alive  
  
I may be old but I've been told at least I'm still alive  
Fly me young, fly, and tomorrow, yeah  
Get me up  
I been working so, so very hard

"
61,"I'm full of pride and my heart feels good  
Got news from my family up in the woods  
At last I can go back where I belong  
Sweated it all out for nine long years  
  
Couldn't believe the voice in my ears  
When the man saying ""no hiding ,son""  
So I left the only folks I had known  
I was fifteen then, hardly grown  
  
When they found me in the swamp face down in the mud  
Couldn't get back and I couldn't go far  
Said to myself stay right where you are  
Done found yourself a ma and pa  
  
[Chorus:]  
Everybody said the kid's no good  
Come home johnny bride come home  
Johnny bride come home  
We're all wrong without you  
How did we ever doubt you  
He confessed to the killing  
It's his role we had you filling  
We didn't really mean to make you sad  
But when you ran you made us think that you were twice as bad  
  
I left the only folks I had known  
I was fifteen then , hardly grown  
When they found me in the swamp face down in the mud  
  
Couldn't get back and I couldn't go far  
Said to myself stay right where you are  
Done found yourself a ma and pa  
  
[Chorus]  
  
But when you ran you made us think that you were twice as bad [Repeats]

"
62,"So warm is my morning sun, red is my rainbow  
Soft is the cool summer breeze when I saw your face  
I saw the light in your eyes so dark and demanding  
Like a light in the storm  
  
Whenever I cry my friend  
You're always away and so I pretend  
If I could live the dreams that I see  
Long live my love  
  
Walking in country (country) lanes (country lanes)  
I'll never belong to someone again  
Living my whole life through  
Long live my love for you  
  
My life has meaning now, I am a window  
And all things seem clear to me now  
Like a light in the storm  
  
Whenever I cry my friend  
You're always away and so I pretend  
If I could live the dreams that I see  
Long live my love  
  
Walking in country (country) lanes (country lanes)  
I'll never belong to someone again  
Living my whole life through  
Long live my love  
  
Walking in country (country) lanes (country lanes)  
I'll never belong to someone again  
Living my whole life through  
Long live my love for you

"
63,"Country women now, what you gonna do with your life  
Country women now, why don't you get out of this life  
Leave my life alone  
The first time I met you I knew you were the devil's daughter  
You came on like a river, doin' all the things you oughta  
You're a self made women, baby, not a made-to-order  
If you had your way , I know you'd make me stay  
And that would only bring me down  
Country women now, what you gonna do with your life  
Country women now, why don't you get out of this life  
Leave my life alone  
  
Country women , country women, country women  
Country women, country women, ahh  
Country women now, what you gonna do with your life  
Country women now, why don't you get out of this life  
Leave my life alone  
Leave my life alone  
Country women now, country women now, country women now,  
Country women now, country women now, country women now

"
64,"He smiled and rubbed the stubble on his chin  
He sure shall find the weariness and dreariness of life that's growing thin  
Yet, he didn't have so very far to go  
With a pencil in his hand he will travel on as planned  
With a mere step in the mountain to a light  
  
Craise Finton Kirk, see him go, on his way  
Oh, they don't know where he is  
Very very nice, very very nice  
  
Even in the morning when he slept  
Something odd is missing  
There's nothing very much to talk about  
And nothing very much to see  
  
Craise Finton Kirk, see him go, on his way  
Oh, they don't know where he is  
Very very nice, very very nice  
  
Talks about the place he'd like to go  
And you never see the worrying and hurrying that makes a person slow  
Yet, you wouldn't think he'd be so hard to find  
Yet, he looks so very busy but there's nothing on his mind  
And his wavy hair continues not to grow  
  
Craise Finton Kirk, see him go, on his way  
Oh, they don't know where he is  
Very very nice, very very nice  
  
Craise Finton Kirk, see him go, on his way  
Oh, they don't know where he is  
Very very nice, very very nice

"
65,"There were the trees, see the grass, a thing gets inspired.  
Said ""This is the place I will try,"" and he did.  
Stood in the dark, sat a man who beckoned him in,  
But leaving his grass was a sin, but he did.  
  
Cucumber Castle be ever so humble it's home.  
He saw the light in the cellar reflect in his eyes,  
Yet early that morning was he to receive a surprise.  
Cucumber Castle be ever so humble it's home.  
Cucumber Castle be ever so humble it's home.  
  
Said 'Are you leaving or are you receiving my friend,  
Doesn't need any money till then"" and he did .  
He said ""I'm the owner,not you, and this is my stead,  
So give it to me now I'm dead, and he did , said:  
  
Cucumber Castle be ever so humble it's home.  
Cucumber Castle be ever so humble it's home.

"
66,"There she goes my daytime girl.  
Spreading her wings like a high flying eagle.  
All the people will stare as she falls to the ground.  
  
Heaven knows my daytime girl.  
Never been kissed she don't know what she's missing.  
All the kisses there are to be found.  
All the wisdom of people she used.  
She took advantage of this.  
Taking time to remember the past.  
Remembering all she has missed.  
  
What a dream this place has been.  
Said when she left ""I believed when I saw him.  
All the seeing believing come true"".  
All the wisdom of people she used.  
She took advantage of this.  
Taking time to remember the past.  
Remembering all she has missed.  
  
There she goes my daytime girl.  
Spreading her wings like a high flying eagle.  
All the people will stare as she falls to the ground.  
Me how to get over you.

"
67,"I hear you calling me 'dearest' too.  
My dearest,  
I'm nearest than I've ever been before  
To have you calling me 'dearest' once more.  
  
My dearest, this picture,  
My own memory,  
Wishing this picture be reality.  
  
Where do I go from here?  
The lord took you away.  
And if you could see me today.  
I will remember you.  
I will remember you.  
  
My dearest, sincerest,  
There's no one but you and  
Here in my heart  
You're my dearest too.  
  
Where do I go from here?  
The lord took you away.  
And if you could see me today,  
I will remember you.  
I will remember you.  
  
My dearest, sincerest,  
There's no one but you and  
Here in my heart  
You're my dearest too.

"
68,"Oh what a night!  
Late December back in sixty-three.  
What a very special time for me.  
I'll remember what a night.  
  
Oh what a night!  
No I didn't even know her name,  
But I'm never gonna be the same.  
What a lady, what a night!  
  
Oh I, I had a funny feeling when she walked into the room.  
And I, as I recall it ended much too soon.  
Oh what a night!  
  
Hypnotized and mesmorizing me.  
She was everything I dreamed she'd be.  
Sweet surender, what a night!  
  
I felt the rush at the rolling balls of thunder.  
Spinning my head around and taking my body under,  
Oh what a night!  
  
Why'd it take so long to see the light.  
Seemed so wrong, but now it seemed so right.  
What a lady, what a night!

"
69,"This is my dedication  
This is my dedication  
  
I'm not a saint but stand accused  
You're with someone who thinks love's the same as being used  
Now suspicious minds may say, it's over, over  
Whether I live or die, you are my savior, you're my savior  
  
It's my deja vu, sweet deja vu  
Through the feast or famine I'll be with you  
Sheltering arms, reach out to you  
  
This is my dedication  
This is my dedication  
This is my dedication  
This is my dedication  
  
The silent nights, I cry your name  
You're with someone who says, they can get you through your pain  
These golden years keep on returning, it's hurting  
Precious and few, you're my savior, you're my savior  
  
It's my deja vu, sweet deja vu  
Through the feast or famine I'll be with you  
Sheltering arms reach out to you  
  
This is my dedication  
This is my dedication  
This is my dedication  
  
La, la, la, la, la, la  
La, la, la, la, la, la  
La, la, la, la, la, la  
Cherish what they've lost  
  
La, la, la, la, la, la  
La, la, la, la, la, la  
La, la, la, la, la, la  
When often it's too late  
  
La, la, la, la, la, la  
La, la, la, la, la, la  
La, la, la, la, la, la  
  
It's my deja vu  
(My deja vu)  
Sweet deja vu  
(Keep coming through)  
Through the feast or famine, I'll be with you  
(All that is true)  
Sheltering arms, reach out to you  
(Ooh)  
  
Oh, baby  
This is my dedication  
This is my dedication  
This is my dedication  
This is my dedication

"
70,"We may be big or small or black or white, eternally  
And black and white is you and me (in a special light).  
We may be young or old or in between, but this much I know  
Together we can learn to grow.  
  
In a world that's ever turning it's back on you  
If you give it all away  
Make it mine.  
  
You are desire  
Everything you need, I give you right or wrong  
And you are the woman that I base my whole existence on  
And when I get to you my desire is glowing in your light  
  
These are the golden years we get to live, we lead the way  
tomorrow we can start today (in a special light).  
Love could be good or bad or in between, but this much I know  
Baby, you and I can learn  
  
In a world that's rearranging it's reality  
If you give it all away  
Make it mine.  
  
You are desire  
Everything you need, I give you right or wrong  
And you are the woman that I base my whole existence on  
And when I get to you my desire is glowing in your light  
  
And it's nice to light a fire when it's cold outside  
If you give it all away  
Make it mine.  
  
You are desire  
Everything you need, I give you right or wrong  
And you are the woman that I base my whole existence on  
And when I get to you my desire is glowing in your light  
  
You are desire  
Everything you need, I give you right or wrong  
And you are the woman that I base my whole existence on  
And when I get to you my desire is glowing in your light

"
71,"Hindsight, don't make it right  
She give me trouble enough  
And she's a ball of light  
I'm in the tunnel of love  
With the American dream  
And I was born too soon  
A little good luck, never stuck  
She got me climbing the walls  
Got me hard as a rock  
Within a city of sin, she got a city block  
And she was barkin' at the moon  
  
She likes to show  
So many sides to her  
And I'd be the one to know  
  
[Chorus:]  
When am I gonna go to your dimension  
When am I gonna go to where you are  
When am I gonna go to your dimension  
Dimensions of each other keep us goin' strong  
  
Black knight, take a bite  
She can double it up  
And she's a way of life  
And whether dead or alive  
She got a fix on me  
And I was dancin' in the fire  
White steam, never seen  
In every muscle and bone  
She was a love machine  
And she could wrestle me down  
And get a taste of me  
In her web of desire  
  
She changed my world  
How can the body know  
It's touchin' me or her  
  
[Chorus]

"
72,"1974  
I was hungry and I was cold , had a father far too old  
Couldn't make it to the place he'd like to be  
In a tree trunk in the park , he was living in the dark  
Keeping other dogs like him for company  
  
In the evening I'd go down to a nightclub in the town  
Try to get some bread to make another way  
Back to the park I'd go , dig him out of the snow  
You know he's lived a thousand years day to day  
  
Well , the days get shorter and the nights get longer  
And you never learn to know  
If you love one another , could you look at each other  
Could it ever really show  
And at this moment in time you couldn't make up your mind  
Now could you ever understand  
Are you following me just like Moses to the sea  
Do you think I'll give you freedom in the end  
When I'm long dead and gone will your love for me go on  
Will I be the one you run to in the end  
And all my dogs need a friend  
  
It was a quarter to three in the summer of '73  
When I heard somebody call outside my door  
Said ""Are you friend or are you foe""  
He looked up and he said ""no, but I'd like to come inside and know you more""  
  
Well the days get shorter and the nights get longer  
And you never learn to know  
If you love one another , could you look at each other  
Could it ever really show  
And at this moment in time you couldn't make up your mind  
Now could you ever understand  
Are you following me just like Moses to the sea  
Do you think I'll give you freedom in the end  
When I'm long dead and gone will your love for me go on  
Will I be the one you run to in the end  
And all my dogs need a friend  
  
Need a friend  
Need a friend

"
73,"Oh my heart won't believe that you have left me  
I keep telling my self that it's true  
I can get over anything you want my love  
But I can't get myself over you  
  
Don't forget to remember me  
And the love that used to be  
I still remember you  
I love you  
In my heart lies a memory to tell the stars above  
Don't forget to remember me my love  
  
On my wall lies a photograph of you girl  
Though I try to forget you somehow  
You're the mirror of my soul so take me out of my hole  
Let me try to go on living right now  
  
Don't forget to remember me  
And the love that used to be  
I still remember you  
I love you  
In my heart lies a memory to tell the stars above  
Don't forget to remember me my love

"
74,"Maybe I don't wanna know the reason why  
But lately you don't talk to me  
Darling I can't see me in your eyes  
I hold you near but you're so far away  
And it's losing you I can't believe  
To watch you leave and let this feeling die  
You alone are the living thing that keeps me alive  
And tomorrow if I'm here without your love  
You know I can't survive  
Only my love can raise you high above it all  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
(break)  
  
We can take the darkness and make if full of light  
But let your love flow back to me  
How can you leave and let this feeling die  
This happy room will be a lonely place when you are gone  
And I won't even have your shoulders for the crying on  
No other women's love could be as true, I'm begging you  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
We changed the world we made it ours to hold  
But dreams are made for those who really try  
This losing you is real  
But I still feel you here inside  
  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
Don't throw it all away, our love, our love  
Don't throw it all away, our love  
  
(repeat last verse at least twice more and fade out)

"
75,"I am the searcher of my fortunes  
I've got my right hand on the wheel  
We've got to dig for buried treasures  
I know exactly how i feel  
  
I went walkin'through a grave-yard  
Where the darkness is my friend  
I heard all about the beginning  
I want to see just where it ends  
  
I have fed the jaded tiger  
And every tiger knows my name  
But just as long as long as i can see my face  
I can tell myself my name  
  
Don't want to live inside myself  
I'm much better of alone  
But then you must believe in the fallin'rain  
In the morning  
  
Bury me down by the river  
Saved by the bell  
Man for all seasons

"
