,0,1,2
10,Bon Jovi,Another Reason To Believe,"Love lives in New York City  
He got a place off of the park  
Heard he was standing in the ruins  
And in his hands a broken heart  
He called an army of his angels  
I heard they had to hide their wings  
It was them who brought you water  
If you listen closely I know you can hear  
The choir singing  
  
Chorus  
Hey, hallelujah, baby  
Rise Up  
Hold out your hands and reach out  
Higher  
Get up on your feet  
Rise Up  
Let it flow though you, baby  
Run it through your veins  
Like a healing rain  
Everywhere you'll see  
Another reason to believe  
  
I saw him down south of Canal Street  
Right there in a mother's eyes  
At a table in a restaurant window  
In a taxi passing by  
Love went running up the stairwell  
When the sky came falling down  
It was him in a newborn baby's cry  
He was there to make that sound  
That keeps this whole world spinning 'round  
  
Chorus  
Rise Up  
Hold out your hands and reach out  
Higher  
Get up on your feet  
Rise Up  
Let it flow though you, baby  
Run it through your veins  
Like a healing rain  
Everywhere you'll see  
Another reason to believe  
  
It's different than it was before  
Now we need it even more  
Fire's falling from the sky  
Innocence just said goodbye  
It may never be the same  
Maybe it was time to change  
A time to grieve  
A time to cry  
A time to live  
A time to fly

"
11,Bon Jovi,Army Of One,"I'm in this world  
I've got no fun  
Still standing strong  
In army of one  
So sign me up  
I'm a soldier  
  
I've got a voice  
It's all on me  
A beating heart inside of me  
I'm an army of one  
I'm a soldier  
  
These eyes don't know disguise  
They're fighting for their all lives  
They're all trying to get back home tonight  
  
Never give up  
Never give up, Never  
Never give up  
Never let up, Ever  
Never give in  
You're an army of one  
  
Never give up  
Never give up, Never  
Never forget  
Where you're from  
Never give up  
You're an army of one  
  
I can't hurt but I still feel  
I know that life's a battlefield  
When a time get tough  
I'm a soldier  
  
When it's time to the fight  
It's just my side right on my side  
I'm an army of one  
I'm a soldier  
  
Never give up  
Never give up, Never  
Never give up  
Never let up, Ever  
Never give in  
You're an army of one  
  
Never give up  
Never give up, Never  
Never forget  
Where you're from  
Never give up  
You're an army of one  
  
No apologize  
Defend for being alive  
We're all trying  
To get it right tonight  
  
Never give up  
Never give up, Never  
Never give up  
Never let up, Ever  
Never give in  
You're an army of one  
  
Never give up  
Never give up, Never  
Never forget  
Where you're from  
Never give up  
You're an army of one

"
12,Bon Jovi,Bad Medicine,"Your love is like bad medicine  
Bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
Bad medicine  
  
I ain't got a fever, got a permanent disease  
And it'll take more than a doctor to prescribe a remedy  
I got lots of money but it isn't what I need  
Gonna take more than a shot to get this poison out of me  
And I got all the symptoms count 'em 1,2,3  
First you need, then you bleed, and when you're on your knees  
(That's what you get for falling in love  
You get a little but it's never enough  
That what you get for falling in love)  
Now, this boy's addicted 'cause your kiss is the drug, whoa  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
Bad, bad medicine  
  
I don't need no needle to be givin' me a thrill  
And I don't need no anesthesia or a nurse to bring a pill  
I got a dirty down addiction that doesn't leave a track  
I got a jones for your affection like a monkey on my back  
There ain't no paramedic gonna save this heart attack  
When you need, then you bleed, on you knees  
(That's what you get for falling in love  
You get a little but it's never enough  
That what get for falling in love)  
This boy's addicted 'cause your kiss is the drug, whoa  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
So let's play doctor, baby  
Bad medicine  
  
It's what I want. Bad, bad medicine  
Ow, it's what I need  
I need a respirator 'cause I'm running out of breath  
You're an all night generator wrapped in stockings and a dress  
When you find your medicine you take what you can get  
'Cause if there's something better baby well they hav'n't found it yet  
Whoa  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
Bad, bad medicine is what I want  
Bad bad medicine. Oo baby, oo babe  
I gotta go I gotta I gotta go I gotta medicine  
I got I gotta do it again, wait a minute wait a minute  
Hold on I'm not done. One more time. With feeling  
Come on. All-right. Help me out now  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
There ain't no doctor that can cure my disease  
Bad, bad medicine is what I want  
Bad bad medicine. Oo baby, oo babe  
I gotta go I gotta I gotta go I gotta medicine  
I got I gotta do it again, wait a minute wait a minute  
Hold on I'm not done. One more time. With feeling  
Come on. All-right. Help me out now  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
You got the potion that can cure my disease  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
You got the potion that can cure my disease  
  
Your love is like bad medicine, bad medicine is what I need, whoa  
Shake it up just like bad medicine  
You got the potion that can cure my disease

"
13,Bon Jovi,Ballad Of Youth,"(sambora, morolda)  
  
Growing up today  
Theres many mountains you must climb  
Youre not the only one  
Cause everybodys on that line  
Hey mister know it all  
What do you recommend  
You think you know the answers  
But the questions never end  
  
Young hearts better hold on  
Beyond the innocence  
Your youth is gone  
So look in your mirror  
You got nothing to lose  
Don't waste your time away  
Thinkin bout yesterdays blues  
  
Born outta passion  
To a world gone cold  
Ya wear it on your shoulders  
Its a heavy, heavy load I know  
Love and its emotions  
Come knocking at your door  
Young hearts will be broken  
And times the only cure  
  
Young hearts better hold on  
Beyond the innocence  
Your youth is gone  
So look in your mirror  
You got nothing to lose  
Don't waste your time away  
Thinkin bout yesterdays blues  
  
Temptation makes us fall from grace  
But the angels were sinners  
And the sinners saints  
Forgive yourself cause were all the same  
Everybody rides on the karma train  
  
Young hearts  
Better hold on  
Beyond the innocence  
Your youth is gone  
Look in your mirror  
Itll tell you the truth  
Don't waste your time away  
Don't waste your life away, no, no  
Live today  
Theres no time to lose  
Cause when tomorrow comes  
Its all just yesterdays news  
  
All just yesterday news

"
14,Bon Jovi,Bang A Drum,"I went to see the preacher  
To teach me how to pray  
He looked at me and smiled  
Then the preacher turned away  
He said if you want to tell him something  
You ain't gotta fold your hands  
Say it with your heart  
Your soul and believe it  
And I'd say amen  
  
Bang a drum for the sinners  
Bang a drum for the sins  
Bang a drum for the losers  
And those who win  
Bang a drum bang it loudly  
Or as soft as you need  
Bang a drum for yourself son  
And a drum for me  
  
I called upon my brother just the  
Other day, he said: John I'm gonna  
Die if I don't start to live again  
I work each day and night like clockwork  
Just trying to make ends meet  
I could kick this bad world's ass  
If I could just get on my feet  
  
I'd bang a drum for the dying  
Bang a drum for the truth  
Bang a drum for the innocence  
Lost in our youth  
Bang a drum bang it loudly  
Or as soft as you need  
Bang a drum for you brother  
And a drum for me  
  
I don't know where all the rivers run  
I don't know how far, I don't know how come  
But I'm gonna die believin'  
Each step that I take  
Ain't worth the ground that  
I walk on  
If we don't walk it our  
Own way  
  
No I don't claim to be a wise man  
A poet or a saint  
I'm just another man who's searching  
For a better way  
But my heart beats loud as thunder  
For the things that I believe  
Sometimes I wanna run for cover  
Sometimes I want to scream  
  
Bang a drum for tomorrow  
Bang a drum for the past  
Bang a drum for the heroes  
That won't come back  
Bang a drum for the promise  
Bang a drum for the lies  
Bang a drum for the lovers  
And the tears they've cried  
Bang a drum bang it loudly  
Or as soft as you need  
But as long as my heart keeps on bangin'  
I got a reason to believe

"
15,Bon Jovi,Bed Of Roses,"Sitting here wasted and wounded  
At this old piano  
Trying hard to capture  
The moment this morning I don't know  
'Cause a bottle of vodka  
Is still lodged in my head  
And some blond gave me nightmares  
I think she is still in my bed  
As I dream about movies  
They won't make of me when I'm dead  
  
With an ironclad fist I wake up and  
French kiss the morning  
While some marching band keeps  
Its own beat in my head  
While we're talking  
About all of the things that I long to believe  
About love and the truth and  
What you mean to me  
And the truth is baby you're all that I need  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses  
  
Well I'm so far away  
That each step that I take is on my way home  
A king's ransom in dimes I'd given each night  
Just to see through this payphone  
Still I run out of time  
Or it's hard to get through  
Till the bird on the wire flies me back to you  
I'll just close my eyes and whisper,  
Baby blind love is true  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses  
  
The hotel bar hangover whiskey's gone dry  
The barkeeper's wig's crooked  
And she's giving me the eye  
I might have said yeah  
But I laughed so hard I think I died  
  
When you close your eyes  
Know I'll be thinking about you  
While my mistress she calls me  
To stand in her spotlight again  
Tonight I won't be alone  
But you know that don't  
Mean I'm not lonely I've got nothing to prove  
For it's you that I'd die to defend  
  
I want to lay you down on a bed of roses  
For tonight I sleep on a bed on nails  
I want to be just as close as the Holy Ghost is  
And lay you down on bed of roses

"
16,Bon Jovi,Better Think Twice,"I just want all those modern romances  
Always being in love  
When any girl smiled at me I went wild at the touch of her clothes  
Then bang it's off before I know it  
Poor broken hearted me  
  
Better think twice before falling in love again  
Better think twice before falling in love  
  
Jackie's all alone in her room with the TV on  
And she's crying, crying  
Wondering about how her and Joey been getting along  
All this lying, lying  
Tell her this, tell her that  
Where's these lies gonna end  
Things would be much better if her and Joey just stayed friends  
  
Better think twice before falling in love again  
Better think twice before falling in love  
  
What's in it for you?  
He's trying to shoot you down  
Long hot summer nights  
Go out now and find that girl and hold her tight  
Like she's the only girl in the world  
  
You better think twice  
Better think twice before falling in love again  
Better think twice before falling in love  
Better think twice before falling in love again  
Better think twice before falling in love

"
17,Bon Jovi,Billy,"Yeah, yeah, yeah  
Since you've been gone now, honey  
Life ain't nothing but sad luck days  
I begged on my knees now, sugar  
You acted like you never knew my name  
  
My friends saw you at the station  
I guess you must have missed your train  
  
Tell me is it 'cause you love me, Billy  
Or is it just because you love the pain?  
  
Billy, Billy  
Ain't love hard to explain?  
For a debutante you're a real hard woman  
But I love you just the same  
  
How come you're sad when I get happy?  
Why do you laugh when I want to cry?  
Tell me why when I say I need you  
You turn around and you say goodbye?  
  
Why do you think that a heart's so fragile?  
Can you tell me why love's so blind?  
Just like a magnet you pull me under  
I can't resist you, we're two of a kind  
  
Billy, Billy  
Ain't love hard to explain?  
For a debutante you're a real hard woman  
But I love you just the same  
  
Billy, Billy  
Can we be lovers and friends?  
Life is like a movie but this ain't pretend  
There really have to be a happy end  
[Incomprehensible]  
  
Billy, Billy  
Ain't love hard to explain?  
For a debutante you're a real hard woman  
But I love you just the same  
  
I never said you had to walk on water  
Or that I could ever stop the rain  
Sometimes we break up just to make up, baby  
And we don't care who's to blame  
  
Billy, Billy  
Ain't love hard to explain?  
For a debutante you're a real hard woman  
But I love you just the same  
  
Billy, Billy  
Can we be lovers and friends?  
Life is like a movie but this ain't pretend  
There really have to be a happy end  
  
Yeah, yeah, yeah  
Yeah, yeah, yeah  
  
Billy, Billy  
Ain't love hard to explain?  
Billy, Billy  
I love you just the same

"
18,Bon Jovi,Bitter Wine,"We met some time ago when we were almost young  
It never crossed my mind to ask where did you come from  
I didn't have much money so I stole you a rose  
You were dressed like an orphan in salvation army clothes  
  
I never thought I'd lose you,nor I'd rather go blind  
I thought I saw a future but the fortune teller lied  
  
Your love was my salvation it could always get me high  
What was once holy water tastes like bitter wine  
  
I know I wasn't funny but you laughed at all my jokes  
When I was choking on the words to say you your fingers down my throat  
The first night I said I love you you told me to go to hell  
You were giving me head on that creaky bed at the old duval motel  
  
Just like everything good love has to die  
Ain't no sympathy when it says goodbye  
  
Your love was my salvation it could always get me high  
What was once holy water tastes like bitter wine  
  
Just like everything good love has to die  
No one even cried we were one of a kind  
  
Love left me stranded at the station and the last train's gone by  
What was once holy water tastes like bitter wine  
  
Your love was my salvation it could always get me high  
You take back the holy water now all that's left is bitter wine

"
19,Bon Jovi,Blood Money,"Hey Patty Garrett that's what I used to call you  
They tell me you want me but I hear they've got you  
They made you a lawman with a badge made of silver  
They paid you some money to sell them my blood  
  
But you say this ain't about me, this ain't about you  
Or the good and the bad times we've both been through  
When the lines between brothers and justice have changed  
You do what you've got to cause you can't walk away  
  
I wonder what would have happened  
If you were the killer  
And I was the hero  
Would things be the same  
Or would I have traded  
Your life for my own life  
Would I have paid  
Your debts in your place  
  
But this ain't about me, this ain't about you  
Or the good and the bad times we've both been through  
When the lines between brothers and justice have changed  
You do what you've got to cause you can't walk away  
  
Blood money  
That's what I call it  
'Cause money for blood ain't no fair exchange  
Blood money  
Bought and then sold you  
But your conscience is all you can take to your grave

"
20,Bon Jovi,Bobby's Girl,"I'd give you my ring, I'd fill you with promises  
I'd give you anything you want  
If you told me that we could be more than friends  
Run with me baby, on a magic carpet ride  
Well live for tomorrow, everything I'll be alright  
Cause it don't matter what they say  
  
She's Bobby's girl, Johnny, you're playing with dynamite.  
She's Bobby's girl, close the door baby, it'll be alright  
Come on, lets go  
  
When they say she's Bobby's girl, Johnny, you're playing with dynamite  
She's Bobby's girl, close the door honey, it'll be alright now  
  
She's Bobby's girl, come on baby, come with me tonight  
She's Bobby's girl, close the door baby, it'll be alright now

"
21,Bon Jovi,Born To Be My Baby,"Rainy night and we worked all day  
We both got jobs 'cause there's bills to pay  
We got something they can't take away  
Our love, our lives  
  
Close the door, leave the cold outside  
I don't need nothing when I'm by your side  
We got something that'll never die  
Our dreams, our pride  
  
My heart beats like a drum (all night)  
Flesh to flesh, one to one (and it's alright)  
And I'll never let go cause  
There's something I know deep inside  
  
You were born to be my baby  
And baby, I was made to be your man  
  
We got something to believe in  
Even if we don't know where we stand  
Only God would know the reasons  
But I bet he must have had a plan  
Cause you were born to be my baby  
And baby, I was made to be your man  
  
Light a candle, blow the world away  
Table for two on a TV tray  
It ain't fancy, baby that's OK  
Our time, our way  
  
So hold me close better hang on tight  
Buckle up, baby, it's a bumpy ride  
We're two kids hitching down the road of life  
Our world, our fight  
  
If we stand side by side (all night)  
There's a chance we'll get by (and it's alright)  
And I'll know that you'll be live  
In my heart till the day that I die  
  
Cause you were born to be my baby  
And baby, I was made to be your man  
  
We got something to believe in  
Even if we don't know where we stand  
Only God would know the reasons  
But I bet he must have had a plan  
Cause you were born to be my baby  
And baby, I was made to be your man  
  
My heart beats like a drum (all night)  
Flesh to flesh, one to one (and it's alright)  
And I'll never let go cause  
There's something I know deep inside  
  
Cause you were born to be my baby  
And baby, I was made to be your man  
  
We got something to believe in  
Even if we don't know where we stand  
Only God would know the reasons  
But I bet he must have had a plan  
  
Cause you were born to be my baby  
And baby, I was made to be your man  
  
You were born to be my baby  
And baby, I was made to be your man

"
22,Bon Jovi,Breakout,"This time girl i've had enough  
You're too hot to handle with kid gloves  
It's too late i hear a knock on the door  
The game's over baby i can't take it no more  
  
[Chorus]  
Breakout, breakout  
Take these chains from me  
You held my heart for ransom  
Baby, set it free  
Breakout, breakout  
Your lies can't hide what i see  
I'm better off on my own  
  
Promises made me in the heat of the night (whoa-oh-oh)  
Those words were broken under bedroom lights (whoa-oh)  
Your lips they burn your body calls my name (whoa-oh)  
I can feel the fire but it's all in vain (whoa-oh)  
  
[Chorus]  
  
You say we'll meet around midnight  
You're gonna make me feel oh so right  
I'm saying oh no not tonight  
You gotta let me go  
  
[Chorus]  
  
You say we'll meet around midnight  
You're gonna make me feel oh so right  
I'm saying oh no not tonight  
You gotta let me go

"
23,Bon Jovi,Captain Crash And The Beauty Queen From Mars,"Dressed up for a big date  
Like Halloween day but it was Fourth of July now  
A car crash with a suitcase and a painted face  
She was one of a kind  
She wears a plastic crown like Cinderella  
And roller skates in bed  
  
Crash rides the greyhound from his hometown  
When he comes around 'cause they don't let him drive now  
Mixed up as a milkshake  
But make no mistake  
They're shooting for the stars  
  
[Chorus:]  
You and me  
We're invincible together  
We can be so tragical, whatever  
Dressed up just like ziggy but he couldn't play guitar  
Captain Crash and the beauty queen from mars  
  
Share a toothpick, trading lipstick  
Watching traffic for days at the diner  
Holding hands, making big plans  
Playing Superman, he was wearing eyeliner  
Another local legend and his longtime lucky charm  
  
[Chorus:]  
You and me  
We're invincible together  
We can be so tragical, whatever  
Dressed up just like ziggy but he couldn't play guitar  
Captain Crash and the beauty queen from mars  
  
They're drunk on love as you can get  
Getting high on lust and cigarettes  
Living life with no regrets  
At least they're gonna try to fly  
  
[Chorus:]  
You and me  
We're invincible together  
We can be so tragical, whatever  
We're Sid and Nancy  
Fred and Ginger  
Clyde and Bonnie  
Liz and Richard  
Kurt and Courtney  
Bacall and Bogie  
Joltin' Joe and Ms. Monroe  
Here's captain crash and the beauty queen from mars

"
